 15.48769   250.440552    -7.997581     0.013291   -13.167836   -37.062565    -5.526092    -0.902107    -0.232046  -642.754333     6.976025     2.000000
  1.86104   208.643845    46.747158     0.002400    -4.325074    -2.362401     5.238316    -0.935266    -0.391793   -49.029709     0.796609     2.000000
  3.63062   152.513153    49.110912     0.006365   -11.063665     5.756152    14.403021    -0.934021    -0.295019   -48.048756     0.694315     2.000000
  6.33622   188.695389    17.513027     0.011298   -31.843397    -4.870105    10.164979    -0.921129    -0.216069   -78.761330     4.041385     2.000000
  7.70232   231.299789    12.177405     0.016926   -30.888231   -38.554527    10.660649    -0.913142    -0.257087   -70.954254     4.522246     2.000000
  5.00207   153.260574   -10.332200     0.004817   -12.671965     6.384263    -2.586879    -0.903160    -0.257764  -217.931168     1.295358     2.000000
  7.20924   201.629852    49.945595     0.011584   -20.716465    -8.214720    26.507935    -0.902669    -0.164353  -124.383011     3.032831     2.000000
  5.77004   211.378525   -19.535736     0.014038   -33.748074   -20.582552   -14.025855    -0.914227     0.921309   -36.311119     2.221669     2.000000
  8.16207   197.078873   -31.377325     0.022155   -53.919613   -16.566080   -34.400410    -0.936465     0.908488   -50.011017     1.224486     2.000000
  3.22016   162.925613    19.418001     0.005978   -16.134089     4.955600     5.949641    -0.920211    -0.027710   -39.238800     2.764489     2.000000
  6.68686   202.811035    43.489952     0.015996   -31.949247   -13.437465    32.879623    -0.914227     0.107215   -36.311119     2.297226     2.000000
  8.79593   216.344513   -44.080383     0.017757   -30.672340   -22.567776   -36.876949    -0.928523     1.325183   -44.128799     7.457054     2.000000
  5.12765   201.157593     2.097842     0.007282   -20.310400    -7.860599     0.797758    -0.904697     0.346259   -95.745369     3.716974     2.000000
  8.34739   134.534012    35.980106     0.016790   -28.453186    28.919802    29.454443    -0.927770     0.093573   -86.585396     4.363267     2.000000
  8.02555   130.310120     7.603364     0.016879   -32.318352    38.094856     6.668664    -0.909713     0.167216   -68.031677     3.970156     2.000000
  2.48751   165.841248    44.132637     0.004533    -9.447966     2.383468     9.453334    -0.909713     0.135133   -34.362415     1.409118     2.000000
 13.22080   168.105331    39.206928     0.016011   -36.256989     7.637026    30.226805    -0.904937    -0.037209  -348.679016     3.051777     2.000000
  2.79896   205.986313    18.519243     0.004489   -11.458851    -5.585465     4.270066    -0.912028     0.269067   -35.336437     1.974221     2.000000
 14.39988   250.336975    20.356031     0.025663   -24.123520   -67.511665    26.599478    -0.906003    -0.157462  -193.244827     3.755238     0.989500
